model_id,task,vagueness_level,field_id,field_stability,required
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterychemistry.clearname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterychemistry.shortname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterymaterials.batterymaterial.batterymaterialidentifier,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterymaterials.batterymaterial.batterymateriallocation.componentid,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterymaterials.batterymaterial.batterymateriallocation.componentname,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterymaterials.batterymaterial.batterymaterialmass,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterymaterials.batterymaterial.batterymaterialname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,batterymaterials.batterymaterial.iscriticalrawmaterial,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceclass,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceconcentration,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceidentifier,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceimpact.impact,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentid,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentname,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstancename,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,batterychemistry.clearname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,batterychemistry.shortname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,batterymaterials.batterymaterial.batterymaterialidentifier,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,batterymaterials.batterymaterial.batterymateriallocation.componentid,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,low,batterymaterials.batterymaterial.batterymateriallocation.componentname,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,low,batterymaterials.batterymaterial.batterymaterialmass,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,batterymaterials.batterymaterial.batterymaterialname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,batterymaterials.batterymaterial.iscriticalrawmaterial,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,hazardoussubstances.hazardoussubstance.hazardoussubstanceclass,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,hazardoussubstances.hazardoussubstance.hazardoussubstanceconcentration,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,hazardoussubstances.hazardoussubstance.hazardoussubstanceidentifier,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,low,hazardoussubstances.hazardoussubstance.hazardoussubstanceimpact.impact,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,low,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentid,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,low,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentname,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,low,hazardoussubstances.hazardoussubstance.hazardoussubstancename,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterychemistry.clearname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterychemistry.shortname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterymaterials.batterymaterial.batterymaterialidentifier,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterymaterials.batterymaterial.batterymateriallocation.componentid,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterymaterials.batterymaterial.batterymateriallocation.componentname,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterymaterials.batterymaterial.batterymaterialmass,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterymaterials.batterymaterial.batterymaterialname,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,batterymaterials.batterymaterial.iscriticalrawmaterial,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,hazardoussubstances.hazardoussubstance.hazardoussubstanceclass,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,hazardoussubstances.hazardoussubstance.hazardoussubstanceconcentration,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,hazardoussubstances.hazardoussubstance.hazardoussubstanceidentifier,1.0,True
Qwen/Qwen2.5-7B-Instruct,espr,medium,hazardoussubstances.hazardoussubstance.hazardoussubstanceimpact.impact,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,medium,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentid,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,medium,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentname,1.0,False
Qwen/Qwen2.5-7B-Instruct,espr,medium,hazardoussubstances.hazardoussubstance.hazardoussubstancename,1.0,True
claude-sonnet-4-6,espr,baseline,batterychemistry.clearname,1.0,True
claude-sonnet-4-6,espr,baseline,batterychemistry.shortname,1.0,True
claude-sonnet-4-6,espr,baseline,batterymaterials.batterymaterial.batterymaterialidentifier,1.0,True
claude-sonnet-4-6,espr,baseline,batterymaterials.batterymaterial.batterymateriallocation.componentid,1.0,False
claude-sonnet-4-6,espr,baseline,batterymaterials.batterymaterial.batterymateriallocation.componentname,1.0,False
claude-sonnet-4-6,espr,baseline,batterymaterials.batterymaterial.batterymaterialmass,1.0,True
claude-sonnet-4-6,espr,baseline,batterymaterials.batterymaterial.batterymaterialname,1.0,True
claude-sonnet-4-6,espr,baseline,batterymaterials.batterymaterial.iscriticalrawmaterial,1.0,True
claude-sonnet-4-6,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceclass,0.8,True
claude-sonnet-4-6,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceconcentration,0.8,True
claude-sonnet-4-6,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceidentifier,0.8,True
claude-sonnet-4-6,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstanceimpact.impact,0.8,False
claude-sonnet-4-6,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentid,1.0,False
claude-sonnet-4-6,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstancelocation.componentname,1.0,False
claude-sonnet-4-6,espr,baseline,hazardoussubstances.hazardoussubstance.hazardoussubstancename,1.0,True
claude-sonnet-4-6,espr,high,batterychemistry.clearname,1.0,True
claude-sonnet-4-6,espr,high,batterychemistry.shortname,1.0,True
claude-sonnet-4-6,espr,high,batterymaterials.batterymaterial.batterymaterialidentifier,1.0,True
claude-sonnet-4-6,espr,high,batterymaterials.batterymaterial.batterymateriallocation.componentid,1.0,False
claude-sonnet-4-6,espr,high,batterymaterials.batterymaterial.batterymateriallocation.componentname,1.0,False
claude-sonnet-4-6,espr,high,batterymaterials.batterymaterial.batterymaterialmass,1.0,True
claude-sonnet-4-6,espr,high,batterymaterials.batterymaterial.batterymaterialname,1.0,True
claude-sonnet-4-6,espr,high,batterymaterials.batterymaterial.iscriticalrawmaterial,1.0,True
claude-sonnet-4-6,espr,high,hazardoussubstances.hazardoussubstance.hazardoussubstanceclass,1.0,True
claude-sonnet-4-6,espr,high,hazardoussubstances.hazardoussubstance.hazardoussubstanceconcentration,0.0,True
